,customer_no,timestamp,location,day,hour,location_after
94,15,2019-09-02 07:10:00,fruit,Monday,7,fruit
95,15,2019-09-02 07:11:00,fruit,Monday,7,checkout
96,15,2019-09-02 07:12:00,checkout,Monday,7,checkout
97,16,2019-09-02 07:07:00,dairy,Monday,7,dairy
98,16,2019-09-02 07:08:00,dairy,Monday,7,spices
99,16,2019-09-02 07:09:00,spices,Monday,7,spices
100,16,2019-09-02 07:10:00,spices,Monday,7,checkout
101,16,2019-09-02 07:11:00,checkout,Monday,7,checkout
102,17,2019-09-02 07:11:00,fruit,Monday,7,fruit
103,17,2019-09-02 07:12:00,fruit,Monday,7,fruit
104,17,2019-09-02 07:13:00,fruit,Monday,7,fruit
105,17,2019-09-02 07:14:00,fruit,Monday,7,fruit
106,17,2019-09-02 07:15:00,fruit,Monday,7,fruit
107,17,2019-09-02 07:16:00,fruit,Monday,7,fruit
108,17,2019-09-02 07:17:00,fruit,Monday,7,fruit
109,17,2019-09-02 07:18:00,fruit,Monday,7,fruit
110,17,2019-09-02 07:19:00,fruit,Monday,7,fruit
111,17,2019-09-02 07:20:00,fruit,Monday,7,fruit
112,17,2019-09-02 07:21:00,fruit,Monday,7,checkout
113,17,2019-09-02 07:22:00,checkout,Monday,7,checkout
114,18,2019-09-02 07:12:00,fruit,Monday,7,fruit
115,18,2019-09-02 07:13:00,fruit,Monday,7,dairy
116,18,2019-09-02 07:14:00,dairy,Monday,7,dairy
117,18,2019-09-02 07:15:00,dairy,Monday,7,dairy
118,18,2019-09-02 07:16:00,dairy,Monday,7,checkout
119,18,2019-09-02 07:17:00,checkout,Monday,7,checkout
120,19,2019-09-02 07:12:00,spices,Monday,7,drinks
121,19,2019-09-02 07:13:00,drinks,Monday,7,drinks
122,19,2019-09-02 07:14:00,drinks,Monday,7,drinks
123,19,2019-09-02 07:15:00,drinks,Monday,7,drinks
124,19,2019-09-02 07:16:00,drinks,Monday,7,drinks
125,19,2019-09-02 07:17:00,drinks,Monday,7,drinks
126,19,2019-09-02 07:18:00,drinks,Monday,7,drinks
127,19,2019-09-02 07:19:00,drinks,Monday,7,checkout
128,19,2019-09-02 07:20:00,checkout,Monday,7,checkout
129,20,2019-09-02 07:12:00,drinks,Monday,7,drinks
130,20,2019-09-02 07:13:00,drinks,Monday,7,checkout
131,20,2019-09-02 07:14:00,checkout,Monday,7,checkout
132,21,2019-09-02 07:13:00,drinks,Monday,7,drinks
133,21,2019-09-02 07:14:00,drinks,Monday,7,spices
134,21,2019-09-02 07:15:00,spices,Monday,7,checkout
135,21,2019-09-02 07:16:00,checkout,Monday,7,checkout
136,22,2019-09-02 07:13:00,fruit,Monday,7,fruit
137,22,2019-09-02 07:14:00,fruit,Monday,7,dairy
138,22,2019-09-02 07:15:00,dairy,Monday,7,dairy
139,22,2019-09-02 07:16:00,dairy,Monday,7,checkout
140,22,2019-09-02 07:17:00,checkout,Monday,7,checkout
141,23,2019-09-02 07:14:00,fruit,Monday,7,checkout
142,23,2019-09-02 07:15:00,checkout,Monday,7,checkout
143,24,2019-09-02 07:14:00,drinks,Monday,7,drinks
144,24,2019-09-02 07:15:00,drinks,Monday,7,drinks
145,24,2019-09-02 07:16:00,drinks,Monday,7,drinks
146,24,2019-09-02 07:17:00,drinks,Monday,7,drinks
147,24,2019-09-02 07:18:00,drinks,Monday,7,drinks
148,24,2019-09-02 07:19:00,drinks,Monday,7,checkout
149,24,2019-09-02 07:20:00,checkout,Monday,7,checkout
150,25,2019-09-02 07:16:00,spices,Monday,7,dairy
151,25,2019-09-02 07:17:00,dairy,Monday,7,spices
152,25,2019-09-02 07:18:00,spices,Monday,7,drinks
153,25,2019-09-02 07:19:00,drinks,Monday,7,drinks
154,25,2019-09-02 07:20:00,drinks,Monday,7,drinks
155,25,2019-09-02 07:21:00,drinks,Monday,7,checkout
156,25,2019-09-02 07:22:00,checkout,Monday,7,checkout
157,26,2019-09-02 07:16:00,fruit,Monday,7,fruit
158,26,2019-09-02 07:17:00,fruit,Monday,7,fruit
159,26,2019-09-02 07:18:00,fruit,Monday,7,fruit
160,26,2019-09-02 07:19:00,fruit,Monday,7,dairy
161,26,2019-09-02 07:20:00,dairy,Monday,7,dairy
162,26,2019-09-02 07:21:00,dairy,Monday,7,dairy
163,26,2019-09-02 07:22:00,dairy,Monday,7,dairy
164,26,2019-09-02 07:23:00,dairy,Monday,7,checkout
165,26,2019-09-02 07:24:00,checkout,Monday,7,checkout
166,27,2019-09-02 07:16:00,spices,Monday,7,spices
167,27,2019-09-02 07:17:00,spices,Monday,7,spices
168,27,2019-09-02 07:18:00,spices,Monday,7,dairy
169,27,2019-09-02 07:19:00,dairy,Monday,7,dairy
170,27,2019-09-02 07:20:00,dairy,Monday,7,dairy
171,27,2019-09-02 07:21:00,dairy,Monday,7,dairy
172,27,2019-09-02 07:22:00,dairy,Monday,7,dairy
173,27,2019-09-02 07:23:00,dairy,Monday,7,dairy
174,27,2019-09-02 07:24:00,dairy,Monday,7,dairy
175,27,2019-09-02 07:25:00,dairy,Monday,7,dairy
176,27,2019-09-02 07:26:00,dairy,Monday,7,dairy
177,27,2019-09-02 07:27:00,dairy,Monday,7,dairy
178,27,2019-09-02 07:28:00,dairy,Monday,7,dairy
179,27,2019-09-02 07:29:00,dairy,Monday,7,dairy
180,27,2019-09-02 07:30:00,dairy,Monday,7,dairy
181,27,2019-09-02 07:31:00,dairy,Monday,7,dairy
182,27,2019-09-02 07:32:00,dairy,Monday,7,checkout
183,27,2019-09-02 07:33:00,checkout,Monday,7,checkout
184,28,2019-09-02 07:16:00,drinks,Monday,7,drinks
185,28,2019-09-02 07:17:00,drinks,Monday,7,drinks
186,28,2019-09-02 07:18:00,drinks,Monday,7,checkout
187,28,2019-09-02 07:19:00,checkout,Monday,7,checkout
188,29,2019-09-02 07:16:00,drinks,Monday,7,drinks
189,29,2019-09-02 07:17:00,drinks,Monday,7,checkout
190,29,2019-09-02 07:18:00,checkout,Monday,7,checkout
191,30,2019-09-02 07:17:00,spices,Monday,7,drinks
192,30,2019-09-02 07:18:00,drinks,Monday,7,fruit
193,30,2019-09-02 07:19:00,fruit,Monday,7,dairy
194,30,2019-09-02 07:20:00,dairy,Monday,7,fruit
195,30,2019-09-02 07:21:00,fruit,Monday,7,fruit
196,30,2019-09-02 07:22:00,fruit,Monday,7,checkout
197,30,2019-09-02 07:23:00,checkout,Monday,7,checkout
198,31,2019-09-02 07:17:00,spices,Monday,7,checkout
199,31,2019-09-02 07:18:00,checkout,Monday,7,checkout
200,32,2019-09-02 07:17:00,drinks,Monday,7,drinks
201,32,2019-09-02 07:18:00,drinks,Monday,7,drinks
202,32,2019-09-02 07:19:00,drinks,Monday,7,checkout
203,32,2019-09-02 07:20:00,checkout,Monday,7,checkout
204,33,2019-09-02 07:17:00,fruit,Monday,7,fruit
205,33,2019-09-02 07:18:00,fruit,Monday,7,fruit
206,33,2019-09-02 07:19:00,fruit,Monday,7,dairy
207,33,2019-09-02 07:20:00,dairy,Monday,7,dairy
208,33,2019-09-02 07:21:00,dairy,Monday,7,spices
209,33,2019-09-02 07:22:00,spices,Monday,7,dairy
210,33,2019-09-02 07:23:00,dairy,Monday,7,drinks
211,33,2019-09-02 07:24:00,drinks,Monday,7,drinks
212,33,2019-09-02 07:25:00,drinks,Monday,7,spices
213,33,2019-09-02 07:26:00,spices,Monday,7,drinks
214,33,2019-09-02 07:27:00,drinks,Monday,7,drinks
215,33,2019-09-02 07:28:00,drinks,Monday,7,drinks
216,33,2019-09-02 07:29:00,drinks,Monday,7,drinks
217,33,2019-09-02 07:30:00,drinks,Monday,7,drinks
218,33,2019-09-02 07:31:00,drinks,Monday,7,drinks
219,33,2019-09-02 07:32:00,drinks,Monday,7,checkout
220,33,2019-09-02 07:33:00,checkout,Monday,7,checkout
221,34,2019-09-02 07:17:00,spices,Monday,7,drinks
222,34,2019-09-02 07:18:00,drinks,Monday,7,drinks
223,34,2019-09-02 07:19:00,drinks,Monday,7,drinks
224,34,2019-09-02 07:20:00,drinks,Monday,7,drinks
225,34,2019-09-02 07:21:00,drinks,Monday,7,drinks
226,34,2019-09-02 07:22:00,drinks,Monday,7,drinks
227,34,2019-09-02 07:23:00,drinks,Monday,7,drinks
228,34,2019-09-02 07:24:00,drinks,Monday,7,spices
229,34,2019-09-02 07:25:00,spices,Monday,7,fruit
230,34,2019-09-02 07:26:00,fruit,Monday,7,checkout
231,34,2019-09-02 07:27:00,checkout,Monday,7,checkout
232,35,2019-09-02 07:18:00,dairy,Monday,7,drinks
233,35,2019-09-02 07:19:00,drinks,Monday,7,drinks
234,35,2019-09-02 07:20:00,drinks,Monday,7,drinks
235,35,2019-09-02 07:21:00,drinks,Monday,7,checkout
236,35,2019-09-02 07:22:00,checkout,Monday,7,checkout
237,36,2019-09-02 07:20:00,dairy,Monday,7,checkout
238,36,2019-09-02 07:21:00,checkout,Monday,7,checkout
239,37,2019-09-02 07:22:00,fruit,Monday,7,fruit
240,37,2019-09-02 07:23:00,fruit,Monday,7,fruit
241,37,2019-09-02 07:24:00,fruit,Monday,7,fruit
242,37,2019-09-02 07:25:00,fruit,Monday,7,checkout
243,37,2019-09-02 07:26:00,checkout,Monday,7,checkout
244,38,2019-09-02 07:22:00,fruit,Monday,7,fruit
245,38,2019-09-02 07:23:00,fruit,Monday,7,fruit
246,38,2019-09-02 07:24:00,fruit,Monday,7,fruit
247,38,2019-09-02 07:25:00,fruit,Monday,7,dairy
248,38,2019-09-02 07:26:00,dairy,Monday,7,dairy
249,38,2019-09-02 07:27:00,dairy,Monday,7,dairy
250,38,2019-09-02 07:28:00,dairy,Monday,7,checkout
251,38,2019-09-02 07:29:00,checkout,Monday,7,checkout
252,39,2019-09-02 07:26:00,dairy,Monday,7,checkout
253,39,2019-09-02 07:27:00,checkout,Monday,7,checkout
254,40,2019-09-02 07:26:00,dairy,Monday,7,dairy
255,40,2019-09-02 07:27:00,dairy,Monday,7,dairy
256,40,2019-09-02 07:28:00,dairy,Monday,7,spices
257,40,2019-09-02 07:29:00,spices,Monday,7,checkout
258,40,2019-09-02 07:30:00,checkout,Monday,7,checkout
259,41,2019-09-02 07:26:00,drinks,Monday,7,dairy
260,41,2019-09-02 07:27:00,dairy,Monday,7,spices
261,41,2019-09-02 07:28:00,spices,Monday,7,spices
262,41,2019-09-02 07:29:00,spices,Monday,7,drinks
263,41,2019-09-02 07:30:00,drinks,Monday,7,drinks
264,41,2019-09-02 07:31:00,drinks,Monday,7,drinks
265,41,2019-09-02 07:32:00,drinks,Monday,7,checkout
266,41,2019-09-02 07:33:00,checkout,Monday,7,checkout
267,42,2019-09-02 07:26:00,dairy,Monday,7,dairy
268,42,2019-09-02 07:27:00,dairy,Monday,7,dairy
269,42,2019-09-02 07:28:00,dairy,Monday,7,dairy
270,42,2019-09-02 07:29:00,dairy,Monday,7,spices
271,42,2019-09-02 07:30:00,spices,Monday,7,spices
272,42,2019-09-02 07:31:00,spices,Monday,7,fruit
273,42,2019-09-02 07:32:00,fruit,Monday,7,dairy
274,42,2019-09-02 07:33:00,dairy,Monday,7,dairy
275,42,2019-09-02 07:34:00,dairy,Monday,7,dairy
276,42,2019-09-02 07:35:00,dairy,Monday,7,dairy
277,42,2019-09-02 07:36:00,dairy,Monday,7,dairy
278,42,2019-09-02 07:37:00,dairy,Monday,7,dairy
279,42,2019-09-02 07:38:00,dairy,Monday,7,dairy
280,42,2019-09-02 07:39:00,dairy,Monday,7,dairy
281,42,2019-09-02 07:40:00,dairy,Monday,7,dairy
282,42,2019-09-02 07:41:00,dairy,Monday,7,dairy
283,42,2019-09-02 07:42:00,dairy,Monday,7,dairy
284,42,2019-09-02 07:43:00,dairy,Monday,7,checkout
285,42,2019-09-02 07:44:00,checkout,Monday,7,checkout
286,43,2019-09-02 07:26:00,fruit,Monday,7,fruit
287,43,2019-09-02 07:27:00,fruit,Monday,7,dairy
288,43,2019-09-02 07:28:00,dairy,Monday,7,dairy
289,43,2019-09-02 07:29:00,dairy,Monday,7,dairy
290,43,2019-09-02 07:30:00,dairy,Monday,7,dairy
291,43,2019-09-02 07:31:00,dairy,Monday,7,dairy
292,43,2019-09-02 07:32:00,dairy,Monday,7,dairy
293,43,2019-09-02 07:33:00,dairy,Monday,7,dairy
294,43,2019-09-02 07:34:00,dairy,Monday,7,dairy
295,43,2019-09-02 07:35:00,dairy,Monday,7,dairy
296,43,2019-09-02 07:36:00,dairy,Monday,7,dairy
297,43,2019-09-02 07:37:00,dairy,Monday,7,dairy
298,43,2019-09-02 07:38:00,dairy,Monday,7,fruit
299,43,2019-09-02 07:39:00,fruit,Monday,7,fruit
300,43,2019-09-02 07:40:00,fruit,Monday,7,dairy
301,43,2019-09-02 07:41:00,dairy,Monday,7,dairy
302,43,2019-09-02 07:42:00,dairy,Monday,7,checkout
303,43,2019-09-02 07:43:00,checkout,Monday,7,checkout
304,44,2019-09-02 07:26:00,fruit,Monday,7,checkout
305,44,2019-09-02 07:27:00,checkout,Monday,7,checkout
306,45,2019-09-02 07:26:00,spices,Monday,7,dairy
307,45,2019-09-02 07:27:00,dairy,Monday,7,dairy
308,45,2019-09-02 07:28:00,dairy,Monday,7,dairy
309,45,2019-09-02 07:29:00,dairy,Monday,7,fruit
310,45,2019-09-02 07:30:00,fruit,Monday,7,drinks
311,45,2019-09-02 07:31:00,drinks,Monday,7,drinks
312,45,2019-09-02 07:32:00,drinks,Monday,7,drinks
313,45,2019-09-02 07:33:00,drinks,Monday,7,fruit
314,45,2019-09-02 07:34:00,fruit,Monday,7,fruit
315,45,2019-09-02 07:35:00,fruit,Monday,7,dairy
316,45,2019-09-02 07:36:00,dairy,Monday,7,dairy
317,45,2019-09-02 07:37:00,dairy,Monday,7,dairy
318,45,2019-09-02 07:38:00,dairy,Monday,7,dairy
319,45,2019-09-02 07:39:00,dairy,Monday,7,dairy
320,45,2019-09-02 07:40:00,dairy,Monday,7,dairy
321,45,2019-09-02 07:41:00,dairy,Monday,7,dairy
322,45,2019-09-02 07:42:00,dairy,Monday,7,dairy
323,45,2019-09-02 07:43:00,dairy,Monday,7,dairy
324,45,2019-09-02 07:44:00,dairy,Monday,7,dairy
325,45,2019-09-02 07:45:00,dairy,Monday,7,dairy
326,45,2019-09-02 07:46:00,dairy,Monday,7,dairy
327,45,2019-09-02 07:47:00,dairy,Monday,7,dairy
328,45,2019-09-02 07:48:00,dairy,Monday,7,dairy
329,45,2019-09-02 07:49:00,dairy,Monday,7,dairy
330,45,2019-09-02 07:50:00,dairy,Monday,7,dairy
331,45,2019-09-02 07:51:00,dairy,Monday,7,dairy
332,45,2019-09-02 07:52:00,dairy,Monday,7,dairy
333,45,2019-09-02 07:53:00,dairy,Monday,7,dairy
334,45,2019-09-02 07:54:00,dairy,Monday,7,checkout
335,45,2019-09-02 07:55:00,checkout,Monday,7,checkout
336,46,2019-09-02 07:26:00,fruit,Monday,7,checkout
337,46,2019-09-02 07:27:00,checkout,Monday,7,checkout
338,47,2019-09-02 07:27:00,drinks,Monday,7,fruit
339,47,2019-09-02 07:28:00,fruit,Monday,7,fruit
340,47,2019-09-02 07:29:00,fruit,Monday,7,fruit
341,47,2019-09-02 07:30:00,fruit,Monday,7,fruit
342,47,2019-09-02 07:31:00,fruit,Monday,7,dairy
343,47,2019-09-02 07:32:00,dairy,Monday,7,dairy
344,47,2019-09-02 07:33:00,dairy,Monday,7,dairy
345,47,2019-09-02 07:34:00,dairy,Monday,7,dairy
346,47,2019-09-02 07:35:00,dairy,Monday,7,checkout
347,47,2019-09-02 07:36:00,checkout,Monday,7,checkout
348,48,2019-09-02 07:27:00,drinks,Monday,7,checkout
349,48,2019-09-02 07:28:00,checkout,Monday,7,checkout
350,49,2019-09-02 07:27:00,spices,Monday,7,checkout
351,49,2019-09-02 07:28:00,checkout,Monday,7,checkout
352,50,2019-09-02 07:28:00,fruit,Monday,7,drinks
353,50,2019-09-02 07:29:00,drinks,Monday,7,drinks
354,50,2019-09-02 07:30:00,drinks,Monday,7,spices
355,50,2019-09-02 07:31:00,spices,Monday,7,checkout
356,50,2019-09-02 07:32:00,checkout,Monday,7,checkout
357,51,2019-09-02 07:28:00,fruit,Monday,7,fruit
358,51,2019-09-02 07:29:00,fruit,Monday,7,fruit
359,51,2019-09-02 07:30:00,fruit,Monday,7,dairy
360,51,2019-09-02 07:31:00,dairy,Monday,7,dairy
361,51,2019-09-02 07:32:00,dairy,Monday,7,checkout
362,51,2019-09-02 07:33:00,checkout,Monday,7,checkout
363,52,2019-09-02 07:29:00,drinks,Monday,7,drinks
364,52,2019-09-02 07:30:00,drinks,Monday,7,spices
365,52,2019-09-02 07:31:00,spices,Monday,7,spices
366,52,2019-09-02 07:32:00,spices,Monday,7,fruit
367,52,2019-09-02 07:33:00,fruit,Monday,7,fruit
368,52,2019-09-02 07:34:00,fruit,Monday,7,fruit
369,52,2019-09-02 07:35:00,fruit,Monday,7,drinks
370,52,2019-09-02 07:36:00,drinks,Monday,7,fruit
371,52,2019-09-02 07:37:00,fruit,Monday,7,fruit
372,52,2019-09-02 07:38:00,fruit,Monday,7,checkout
373,52,2019-09-02 07:39:00,checkout,Monday,7,checkout
374,53,2019-09-02 07:29:00,fruit,Monday,7,fruit
375,53,2019-09-02 07:30:00,fruit,Monday,7,fruit
376,53,2019-09-02 07:31:00,fruit,Monday,7,checkout
377,53,2019-09-02 07:32:00,checkout,Monday,7,checkout
378,54,2019-09-02 07:30:00,spices,Monday,7,dairy
379,54,2019-09-02 07:31:00,dairy,Monday,7,dairy
380,54,2019-09-02 07:32:00,dairy,Monday,7,dairy
381,54,2019-09-02 07:33:00,dairy,Monday,7,dairy
382,54,2019-09-02 07:34:00,dairy,Monday,7,dairy
383,54,2019-09-02 07:35:00,dairy,Monday,7,dairy
384,54,2019-09-02 07:36:00,dairy,Monday,7,checkout
385,54,2019-09-02 07:37:00,checkout,Monday,7,checkout
386,55,2019-09-02 07:30:00,spices,Monday,7,spices
387,55,2019-09-02 07:31:00,spices,Monday,7,dairy
388,55,2019-09-02 07:32:00,dairy,Monday,7,dairy
389,55,2019-09-02 07:33:00,dairy,Monday,7,dairy
390,55,2019-09-02 07:34:00,dairy,Monday,7,checkout
391,55,2019-09-02 07:35:00,checkout,Monday,7,checkout
392,56,2019-09-02 07:30:00,fruit,Monday,7,fruit
393,56,2019-09-02 07:31:00,fruit,Monday,7,fruit
394,56,2019-09-02 07:32:00,fruit,Monday,7,dairy
395,56,2019-09-02 07:33:00,dairy,Monday,7,spices
396,56,2019-09-02 07:34:00,spices,Monday,7,drinks
397,56,2019-09-02 07:35:00,drinks,Monday,7,drinks
398,56,2019-09-02 07:36:00,drinks,Monday,7,drinks
399,56,2019-09-02 07:37:00,drinks,Monday,7,drinks
400,56,2019-09-02 07:38:00,drinks,Monday,7,drinks
401,56,2019-09-02 07:39:00,drinks,Monday,7,checkout
402,56,2019-09-02 07:40:00,checkout,Monday,7,checkout
403,57,2019-09-02 07:30:00,fruit,Monday,7,checkout
404,57,2019-09-02 07:31:00,checkout,Monday,7,checkout
405,58,2019-09-02 07:30:00,drinks,Monday,7,drinks
406,58,2019-09-02 07:31:00,drinks,Monday,7,checkout
407,58,2019-09-02 07:32:00,checkout,Monday,7,checkout
408,59,2019-09-02 07:30:00,dairy,Monday,7,dairy
409,59,2019-09-02 07:31:00,dairy,Monday,7,dairy
410,59,2019-09-02 07:32:00,dairy,Monday,7,dairy
411,59,2019-09-02 07:33:00,dairy,Monday,7,dairy
412,59,2019-09-02 07:34:00,dairy,Monday,7,drinks
413,59,2019-09-02 07:35:00,drinks,Monday,7,drinks
414,59,2019-09-02 07:36:00,drinks,Monday,7,drinks
415,59,2019-09-02 07:37:00,drinks,Monday,7,fruit
416,59,2019-09-02 07:38:00,fruit,Monday,7,checkout
417,59,2019-09-02 07:39:00,checkout,Monday,7,checkout
418,60,2019-09-02 07:33:00,fruit,Monday,7,fruit
419,60,2019-09-02 07:34:00,fruit,Monday,7,drinks
420,60,2019-09-02 07:35:00,drinks,Monday,7,checkout
421,60,2019-09-02 07:36:00,checkout,Monday,7,checkout
422,61,2019-09-02 07:33:00,spices,Monday,7,drinks
423,61,2019-09-02 07:34:00,drinks,Monday,7,drinks
424,61,2019-09-02 07:35:00,drinks,Monday,7,drinks
425,61,2019-09-02 07:36:00,drinks,Monday,7,drinks
426,61,2019-09-02 07:37:00,drinks,Monday,7,drinks
427,61,2019-09-02 07:38:00,drinks,Monday,7,drinks
428,61,2019-09-02 07:39:00,drinks,Monday,7,drinks
429,61,2019-09-02 07:40:00,drinks,Monday,7,checkout
430,61,2019-09-02 07:41:00,checkout,Monday,7,checkout
431,62,2019-09-02 07:33:00,spices,Monday,7,spices
432,62,2019-09-02 07:34:00,spices,Monday,7,drinks
433,62,2019-09-02 07:35:00,drinks,Monday,7,drinks
434,62,2019-09-02 07:36:00,drinks,Monday,7,drinks
435,62,2019-09-02 07:37:00,drinks,Monday,7,checkout
436,62,2019-09-02 07:38:00,checkout,Monday,7,checkout
437,63,2019-09-02 07:39:00,spices,Monday,7,drinks
438,63,2019-09-02 07:40:00,drinks,Monday,7,fruit
439,63,2019-09-02 07:41:00,fruit,Monday,7,fruit
440,63,2019-09-02 07:42:00,fruit,Monday,7,dairy
441,63,2019-09-02 07:43:00,dairy,Monday,7,fruit
442,63,2019-09-02 07:44:00,fruit,Monday,7,fruit
443,63,2019-09-02 07:45:00,fruit,Monday,7,drinks
444,63,2019-09-02 07:46:00,drinks,Monday,7,drinks
445,63,2019-09-02 07:47:00,drinks,Monday,7,checkout
446,63,2019-09-02 07:48:00,checkout,Monday,7,checkout
447,64,2019-09-02 07:40:00,drinks,Monday,7,drinks
448,64,2019-09-02 07:41:00,drinks,Monday,7,fruit
449,64,2019-09-02 07:42:00,fruit,Monday,7,drinks
450,64,2019-09-02 07:43:00,drinks,Monday,7,drinks
451,64,2019-09-02 07:44:00,drinks,Monday,7,checkout
